Celebrity,Name,Nationality,Gender,Estimated Net Worth,Age at end of 2023,Birth Date,Birth Month,Birth Day,Birth Year,Industry
Elon Musk,Elon Reeve Musk,ZA,Male,180000000000,52,06/28/1971,June,28,1971,"Entrepreneur, Technology"
Jeff Bezos,Jeffrey Preston Jorgensen,US,Male,110000000000,59,01/12/1964,January,12,1964,"Entrepreneur, Technology"
Bill Gates,William Henry Gates III,US,Male,115000000000,68,10/28/1955,October,28,1955,"Entrepreneur, Technology"
Whitney Wolfe Herd,Whitney Wolfe,US,Female,510000000,34,07/05/1989,July,5,1989,"Entrepreneur, Technology"
Oprah Winfrey,Oprah Gail Winfrey,US,Female,3500000000,69,01/29/1954,January,29,1954,Television
George Lucas,George Walton Lucas Jr.,US,Male,5400000000,79,05/14/1944,May,14,1944,Film
Steven Spielberg,Steven Allan Spielberg,US,Male,4000000000,77,12/18/1946,December,18,1946,Film
Jami Gertz,Jami Beth Gertz,US,Female,8000000000,58,10/28/1965,October,28,1965,Film
Kanye West,Kanye Omari West,US,Male,410000000,46,06/08/1977,June,8,1977,"Music, Fashion, Entrepreneur"
Kim Kardashian,Kimberly Nicole Kardashian,US,Female,1700000000,43,10/21/1980,October,21,1980,"Television, Entrepreneur, Fashion"
Khloe Kardashian,Khloe Alexandra Kardashian,US,Female,60000000,39,06/27/1984,June,27,1984,"Television, Entrepreneur, Fashion"
Kourtney Kardashian,Kourtney Mary Kardashian,US,Female,65000000,44,04/18/1979,April,18,1979,"Television, Entrepreneur, Fashion"
Kendall Jenner,Kendall Nicole Jenner,US,Female,60000000,28,11/03/1995,November,3,1995,"Television, Modeling, Fashion"
Kylie Jenner,Kylie Kristen Jenner,US,Female,750000000,26,08/10/1997,August,10,1997,"Television, Entrepreneur, Fashion"
Kris Jenner,Kristen Mary Kardashian,US,Female,170000000,68,11/05/1955,November,5,1955,"Television, Entrepreneur"
Caitlyn Jenner,William Bruce Jenner,US,Trans Female,25000000,74,11/28/1949,November,28,1949,"Television, Athletics"
Michael Jordan,Michael Jeffrey Jordan,US,Male,3000000000,60,02/17/1963,February,17,1963,"Atheltics, Entrepreneur"
Jay-Z,Shawn Corey Carter,US ,Male,2500000000,54,12/04/1969,December,4,1969,"Music, Entrepreneur"
Beyonce,Beyonce Giselle Knowles,US,Female,540000000,42,11/04/1981,November,4,1981,"Music, Film, Entrepreneur"
The Rock,Dwayne Douglas Johnson,US,Male,800000000,51,05/02/1972,May,2,1972,"Wrestling, Film, Entrepreneur"
Lil Wayne,Dwayne Michael Carter Jr.,US,Male,170000000,41,09/27/1982,September,27,1982,Music
Drake,Aubrey Drake Graham,CA,Male,250000000,37,10/24/1986,October,24,1986,Music
Nicki Minaj,Onika Tanya Maraj-Petty,TT,Female,150000000,41,12/08/2982,December,8,1982,Music
Eminem,Marshall Bruce Mathers III,US,Male,250000000,51,10/17/1972,October,17,1972,Music
DJ Khaled,Khaled Khaled,US,Male,75000000,48,11/26/1975,November,26,1975,Music
Tom Cruise,Thomas Cruise Mapother IV,US,Male,600000000,61,07/03/1962,July,3,1962,Film
Keanu Reeves,Keanu Charles Reeves,CA,Male,380000000,59,09/02/1964,September,2,1964,Film
Tom Hanks,Thomas Jeffrey Hanks,US,Male,400000000,67,07/09/1956,July,9,1956,Film
Brad Pitt,William Bradley Pitt,US,Male,300000000,60,12/18/1963,December,18,1963,Film
Denzel Washington,Denzel Hayes Washington Jr.,US,Male,280000000,69,12/28/1954,December,28,1954,Film
Jack Black,Thomas Jacob Black,US,Male,50000000,54,08/28/1969,August,28,1969,"Music, Film"
Jenna Ortega,Jenna Marie Ortega,US,Female,5000000,22,09/27/2002,September,27,2001,"Film, Television"
Natalie Portman,Natalie Hershlag,IL,Female,90000000,42,06/09/1981,June,9,1981,Film
Robert Downey Jr.,Robert John Downey Jr.,US,Male,300000000,58,04/04/1965,April,4,1965,Film
Chris Evans,Christopher Robert Evans,US,Male,110000000,42,06/13/1981,June,13,1981,Film
Chris Hemsworth,Christopher Hemsworth,AU,Male,130000000,40,08/11/1983,August,11,1983,Film
Mark Ruffalo,Mark Alan Ruffalo,US,Male,35000000,56,11/27/1967,November,27,1967,Film
Gwyneth Paltrow,Gwyneth Kate Paltrow,US,Female,200000000,51,09/27/1972,September,27,1972,"Film, Entrepreneur"
